rank,fit,score,company,title,url,source,location,fit_reason,job_market,seniority,stack_signals,published_at,report_group
1,Excelente,100,Addvisor Consulting (VSG Consultoria Empresarial Ltda),Arquiteto(a) de Soluções Sênior,<https://programathor.com.br/jobs/33517-arquiteto-a-de-solucoes-senior>,programathor,Remoto,Brazil-based or Remote Brazil,brazil,Architect,docker; azure; api,,arq
2,Excelente,100,Premera Blue Cross,"Solution Architect, AI & Automation",<https://himalayas.app/companies/premera-blue-cross/jobs/solution-architect-ai-automation>,himalayas,Remote,Brazil-friendly remote,brazil_friendly,Architect,javascript; typescript; microservices; architecture; cloud; platform; api; go; python; java,2026-05-02T20:31:14.000Z,arq
3,Excelente,100,Digital Forms,Senior Solution Architect (Azure),<https://himalayas.app/companies/digitalforms/jobs/senior-solution-architect-azure>,himalayas,Remote,Brazil-friendly remote,brazil_friendly,Architect,terraform; javascript; typescript; reactjs; react-native; node; azure; architecture; cloud; platform; backend; frontend; api; go,2026-05-04T05:29:25.000Z,arq
4,Excelente,100,Twilio,Partner Solutions Architect,<https://himalayas.app/companies/twilio/jobs/partner-solutions-architect-9551251965>,himalayas,Remote / Brazil,Brazil-based or Remote Brazil,brazil,Architect,typescript; express; architecture; platform; api,2026-05-05T20:32:27.000Z,arq
5,Excelente,100,Digital Forms,Solution Architect,<https://himalayas.app/companies/digitalforms/jobs/solution-architect>,himalayas,Remote,Brazil-friendly remote,brazil_friendly,Architect,aws; typescript; microservices; scrum; gcp; azure; architecture; cloud; platform; api; go,2026-05-07T15:26:22.000Z,arq
6,Excelente,100,Altais Health Solutions,Senior Systems Architect,<https://himalayas.app/companies/altais-health-solutions/jobs/senior-systems-architect-902224059>,himalayas,Remote,Brazil-friendly remote,brazil_friendly,Architect,aws; terraform; typescript; azure; architecture; cloud; platform; api; go,2026-05-07T20:31:05.000Z,arq
7,Excelente,100,CI&T,"[Job-29278] Systems Architect, Brazil",<https://himalayas.app/companies/ci-t/jobs/job-29278-systems-architect-brazil>,himalayas,Remote / Brazil,Brazil-based or Remote Brazil,brazil,Architect,aws; terraform; javascript; node; microservices; azure; kubernetes; architecture; cloud; api; python; java,2026-05-11T23:44:22.000Z,arq
8,Excelente,100,CI&T,[Job-29200] Arquiteto de Software Senior (.NET/React),<https://himalayas.app/companies/ci-t/jobs/job-29200-arquiteto-de-software-senior-net-react>,himalayas,Remote / Brazil,Brazil-based or Remote Brazil,brazil,Architect,javascript; typescript; reactjs; node; microservices; architecture; cloud; platform; java,2026-05-07T14:29:42.000Z,arq
9,Excelente,94,TechBiz Global,Solutions Architect,<https://himalayas.app/companies/techbiz-global/jobs/solutions-architect>,himalayas,Remote,worldwide-compatible remote,international,Architect,typescript; microservices; architecture; cloud; platform; api; go,2026-05-06T20:32:45.000Z,arq
10,Excelente,93,Canonical,Public Cloud Solution Architect,<https://job-boards.greenhouse.io/canonical/jobs/7490812>,greenhouse,Home Based - Americas,worldwide-compatible remote,international,Architect,aws; typescript; docker; gcp; azure; cloud; platform; api; go,2026-01-23T19:25:42.000Z,arq
