rank,fit,score,company,title,url,source,location,fit_reason,job_market,seniority,stack_signals,published_at,report_group
1,Excelente,100,Sigma Software,Junior Full Stack Engineer (Python-focused),<https://himalayas.app/companies/sigma-software-e561c036-16e4-4b2c-aa28-a33af9f3750b/jobs/junior-full-stack-engineer-python-focused>,himalayas,Remote / Brazil,Brazil-based or Remote Brazil,brazil,Junior,aws; typescript; reactjs; docker; scrum; kubernetes; distributed systems; architecture; cloud; platform; backend; frontend; api; go; python,2026-05-14T12:52:12.000Z,junior
2,Excelente,100,Capco,Fullstack Developer Jr - COM INGLÊS - Remoto,<https://himalayas.app/companies/capco/jobs/fullstack-developer-jr-com-ingles-remoto>,himalayas,Remote / Brazil,Brazil-based or Remote Brazil,brazil,Junior,aws; javascript; reactjs; express; azure; architecture; cloud; backend; frontend; go; java,2026-05-13T06:12:53.000Z,junior
3,Excelente,100,DOCLIO,"Desenvolvedor(a) Full Stack (TypeScript, Node.js, React) Júnior",<https://www.programathor.com.br/jobs/33456-desenvolvedor-a-full-stack-typescript-node-js-react-junior>,browser_mcp,Remoto,Brazil-based or Remote Brazil,brazil,Junior,javascript; typescript; reactjs; node,,junior
4,Excelente,97,wex,Junior Software Engineer - .NET/IA,<https://himalayas.app/companies/wex/jobs/junior-software-engineer-net-ia>,himalayas,Remote / Brazil,Brazil-based or Remote Brazil,brazil,Junior,aws; terraform; typescript; reactjs; postgres; docker; scrum; azure; kubernetes; graphql; architecture; cloud; backend; api; go,2026-05-07T19:05:54.000Z,junior
5,Excelente,92,Unisys,Analista Desenvolvedor Cobol Jr.,<https://himalayas.app/companies/unisys/jobs/analista-desenvolvedor-cobol-jr>,himalayas,Remote / Brazil,Brazil-based or Remote Brazil,brazil,Junior,typescript; express; scrum; backend; go,2026-05-13T00:16:13.000Z,junior
6,Excelente,87,engage CRM,📍 PRESENCIAL - SOMENTE PARA CANDIDATOS NO LOCAL Desenvolvedor(a) Web Full Stack Júnior (PHP / JavaScript / React),<https://www.programathor.com.br/jobs/33503-desenvolvedor-a-web-full-stack-junior-php-javascript-react>,browser_mcp,São Paulo (Presencial),Brazil-based or Remote Brazil,brazil,Junior,javascript; reactjs; java,,junior
7,Otima,79,Experian,Analista de Sistemas Junior,<https://himalayas.app/companies/experian/jobs/analista-de-sistemas-junior>,himalayas,Remote / Brazil,Brazil-based or Remote Brazil,brazil,Junior,typescript; api,2026-05-07T12:28:19.000Z,junior
8,Otima,72,Crescer RH,Desenvolvedor(a) Java Jr - PJ,<https://www.programathor.com.br/jobs/33477-desenvolvedor-a-java-jr-pj>,browser_mcp,Belo Horizonte (Híbrido),Brazil-based or Remote Brazil,brazil,Junior,java,,junior
9,Boa,68,BM Vagas - Unidade Prado Casal,Programador(a) Front-end Delphi Júnior,<https://www.programathor.com.br/jobs/33491-programador-a-front-end-delphi-junior>,browser_mcp,Cruzeiro-SP (Presencial),Brazil-based or Remote Brazil,brazil,Junior,frontend,,junior
10,Boa,58,Invest Prime,Vencida Desenvolvedor(a) Júnior,<https://www.programathor.com.br/jobs/26786-desenvolvedor-a-junior>,browser_mcp,"Rio de Janeiro, Rio de Janeiro, Brasil (Presencial)",Brazil-based or Remote Brazil,brazil,Junior,,,junior
11,Razoavel,20,Getnet,Desenvolvedor Backend Junior,<https://vagasgetnet.gupy.io/job/eyJqb2JJZCI6MTEyNzQzMzUsInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal>,browser_mcp,São Paulo,Brazil-based or Remote Brazil,brazil,Junior,backend,,junior
12,Razoavel,19,PagBank,Engenheiro de Software Jr. (Java),<https://pagseguro.gupy.io/job/eyJqb2JJZCI6MTEyMjk3MjgsInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal>,browser_mcp,São Paulo,Brazil-based or Remote Brazil,brazil,Junior,java,,junior
13,Razoavel,12,Cognizant,Desenvolvedor Java/Angular Junior - São Paulo/SP,<https://www.vagas.com.br/vagas/v2813567/desenvolvedor-java-angular-junior-sao-paulo-sp>,browser_mcp,,Brazil-friendly remote,brazil_friendly,Junior,java,,junior
14,Razoavel,8,Auxiliadora Predial,Desenvolvedor(a) Júnior,<https://auxiliadorapredial.gupy.io/job/eyJqb2JJZCI6MTEyNjAxNzgsInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal>,browser_mcp,Porto Alegre,Brazil-based or Remote Brazil,brazil,Junior,,,junior
15,Razoavel,8,Empresa não informada,Desenvolvedor Python (Fullstack) Júnior,<https://www.infojobs.com.br/vaga-de-desenvolvedor-python-fullstack-junior-em-parana__11355568.aspx>,browser_mcp,"-parana__11355568.aspx"">",Brazil-friendly remote,brazil_friendly,Junior,python,,junior
16,Razoavel,8,ICI – Instituto das Cidades Inteligentes,Desenvolvedor Delphi | Junior,<https://ici.gupy.io/job/eyJqb2JJZCI6MTEyNzU0NTksInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal>,browser_mcp,Curitiba,Brazil-based or Remote Brazil,brazil,Junior,,,junior
17,Razoavel,8,Pague Menos | Vagas em Tecnologia e Transformação Digital,Analista Desenvolvedor Júnior,<https://pmenoslab.gupy.io/job/eyJqb2JJZCI6MTEyNTkwNzIsInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal>,browser_mcp,Fortaleza,Brazil-based or Remote Brazil,brazil,Junior,,,junior
18,Razoavel,4,Confidencial,Desenvolvedor | Júnior,<https://www.vagas.com.br/vagas/v2813357/desenvolvedor-junior>,browser_mcp,100% Home Office,Brazil-friendly remote,brazil_friendly,Junior,,,junior
19,Razoavel,0,Empresa não informada,Desenvolvedor Fullstack - Jr,<https://www.infojobs.com.br/vaga-de-desenvolvedor-fullstack-jr-em-sao-paulo__11405471.aspx>,browser_mcp,"-sao-paulo__11405471.aspx"">",Brazil-friendly remote,brazil_friendly,Junior,,,junior
20,Razoavel,0,Empresa não informada,Desenvolvedor Junior (Trainee),<https://www.infojobs.com.br/vaga-de-desenvolvedor-junior-trainee-em-rio-grande-do-sul__11607466.aspx>,browser_mcp,"-rio-grande-do-sul__11607466.aspx"">",Brazil-friendly remote,brazil_friendly,Junior,,,junior
21,Razoavel,0,Empresa não informada,Técnico Programador Júnior,<https://www.infojobs.com.br/vaga-de-tecnico-programador-junior-em-sao-paulo__11622680.aspx>,browser_mcp,"-sao-paulo__11622680.aspx"">",Brazil-friendly remote,brazil_friendly,Junior,,,junior
22,Razoavel,0,Empresa não informada,Desenvolvedor Full Stack Júnior,<https://www.infojobs.com.br/vaga-de-desenvolvedor-full-stack-junior-em-__11556597.aspx>,browser_mcp,"-__11556597.aspx"">",Brazil-friendly remote,brazil_friendly,Junior,,,junior
23,Razoavel,0,Empresa não informada,Desenvolvedor(A) Júnior (.NET / C#) - Espanhol Fluente,<https://www.infojobs.com.br/vaga-de-desenvolvedora-junior-net-c-espanhol-fluente-em-sao-paulo__11614333.aspx>,browser_mcp,"-sao-paulo__11614333.aspx"">",Brazil-friendly remote,brazil_friendly,Junior,,,junior
