rank,fit,score,company,title,url,source,location,fit_reason,job_market,seniority,stack_signals,published_at,report_group
1,Excelente,100,Wynd Labs,Data Engineer,<https://himalayas.app/companies/wyndlabs/jobs/data-engineer>,himalayas,Remote,Brazil-friendly remote,brazil_friendly,Pleno,aws; terraform; typescript; node; docker; gcp; azure; kubernetes; cloud; go; python; java,2026-05-19T20:31:55.000Z,pleno
2,Excelente,100,Wynd Labs,Full Stack Engineer,<https://himalayas.app/companies/wyndlabs/jobs/full-stack-engineer>,himalayas,Remote,Brazil-friendly remote,brazil_friendly,Pleno,javascript; typescript; reactjs; node; redis; architecture; platform; backend; frontend; go,2026-05-19T20:31:56.000Z,pleno
3,Excelente,100,Ubiminds,Full-Stack Engineer .NET Core/ Angular (519 ),<https://himalayas.app/companies/ubiminds/jobs/full-stack-engineer-net-core-angular-519>,himalayas,Remote / Brazil,Brazil-based or Remote Brazil,brazil,Pleno,javascript; typescript; reactjs; docker; scrum; architecture; api; jest,2026-05-20T11:48:33.000Z,pleno
4,Excelente,100,Prhospect soluções em R&S,Desenvolvedor(a) Front-End Pleno | React,<https://programathor.com.br/jobs/33493-desenvolvedor-a-front-end-pleno-react>,programathor,Remoto,Brazil-based or Remote Brazil,brazil,Pleno,javascript; typescript; reactjs; frontend; api; java,,pleno
5,Excelente,100,Thanx,Software Developer,<https://himalayas.app/companies/thanx/jobs/software-developer>,himalayas,Remote / Brazil,Brazil-based or Remote Brazil,brazil,Pleno,aws; terraform; typescript; reactjs; react-native; express; scrum; platform; backend; frontend; api; go,2026-05-18T14:05:20.000Z,pleno
6,Excelente,100,CI&T,[Job - 29325] Desenvolvedor Fullstack Pleno (Java e Angular),<https://himalayas.app/companies/ci-t/jobs/job-29325-desenvolvedor-fullstack-pleno-java-e-angular>,himalayas,Remote / Brazil,Brazil-based or Remote Brazil,brazil,Pleno,javascript; typescript; reactjs; scrum; platform; frontend; api; java,2026-05-13T09:58:24.000Z,pleno
7,Excelente,100,CI&T,[Job - 29324] Desenvolvedor Fullstack Pleno (Java e Angular) - Vaga Afirmativas,<https://himalayas.app/companies/ci-t/jobs/job-29324-desenvolvedor-fullstack-pleno-java-e-angular-vaga-afirmativas>,himalayas,Remote / Brazil,Brazil-based or Remote Brazil,brazil,Pleno,javascript; typescript; reactjs; scrum; platform; frontend; api; java,2026-05-13T13:09:00.000Z,pleno
8,Excelente,100,CI&T,"[Job - 28927] Master Software Developer, Brazil",<https://himalayas.app/companies/ci-t/jobs/job-28927-master-software-developer-brazil>,himalayas,Remote / Brazil,Brazil-based or Remote Brazil,brazil,Pleno,typescript; microservices; azure; kubernetes; architecture; cloud; platform; api; python; java,2026-05-19T07:13:08.000Z,pleno
9,Excelente,100,CI&T,[Job - 29307] Mid FullStack Developer (HCSS),<https://himalayas.app/companies/ci-t/jobs/job-29307-mid-fullstack-developer-hcss>,himalayas,Remote / Brazil,Brazil-based or Remote Brazil,brazil,Pleno,javascript; typescript; reactjs; docker; microservices; html-css; azure; kubernetes; architecture; cloud; platform; backend; frontend; api; java,2026-05-16T06:20:43.000Z,pleno
10,Excelente,100,Halliburton,"Brazil - Remote: Front-end Developer (Rio de Janeiro, RJ, BR, 291941)",<https://himalayas.app/companies/halliburton/jobs/brazil-remote-front-end-developer-rio-de-janeiro-rj-br-291941>,himalayas,Remote / Brazil,Brazil-based or Remote Brazil,brazil,Pleno,javascript; typescript; reactjs; architecture; platform; frontend; api; go,2026-05-18T12:49:55.000Z,pleno
11,Excelente,100,CI&T,[Job -29373] Desenvolvedor Fullstack Pleno (Java e Angular),<https://himalayas.app/companies/ci-t/jobs/job-29373-desenvolvedor-fullstack-pleno-java-e-angular>,himalayas,Remote / Brazil,Brazil-based or Remote Brazil,brazil,Pleno,javascript; typescript; reactjs; platform; frontend; api; java,2026-05-15T11:21:46.000Z,pleno
12,Excelente,100,Arke,Front-End Developer,<https://himalayas.app/companies/arke/jobs/front-end-developer>,himalayas,Remote / Brazil,Brazil-based or Remote Brazil,brazil,Pleno,javascript; typescript; reactjs; html-css; frontend; go,2026-05-08T20:32:33.000Z,pleno
13,Excelente,100,Halliburton,"Brazil - Remote: Back-end Developer (Rio de Janeiro, RJ, BR, 291941)",<https://himalayas.app/companies/halliburton/jobs/brazil-remote-back-end-developer-rio-de-janeiro-rj-br-291941>,himalayas,Remote / Brazil,Brazil-based or Remote Brazil,brazil,Pleno,aws; typescript; microservices; scrum; gcp; azure; architecture; cloud; platform; backend; api; go; python,2026-05-19T00:02:18.000Z,pleno
14,Excelente,100,Daniel J Edelman Holdings,Full Stack Developer,<https://himalayas.app/companies/daniel-j-edelman-holdings/jobs/full-stack-developer>,himalayas,Remote / Brazil,Brazil-based or Remote Brazil,brazil,Pleno,aws; typescript; reactjs; docker; html-css; scrum; architecture; cloud; backend; frontend; api; go; python,2026-05-14T15:54:45.000Z,pleno
15,Excelente,100,Kairogen,Desenvolvedor(a) Full Stack Pleno - Node.js,<https://programathor.com.br/jobs/33478-desenvolvedor-a-full-stack-pleno-node-js>,programathor,Remoto,Brazil-based or Remote Brazil,brazil,Pleno,javascript; typescript; nestjs; node; postgres; go,,pleno
16,Excelente,100,Melhor Plano,Engenheiro(a) de Dados Pleno,<https://programathor.com.br/jobs/33500-engenheiro-a-de-dados-pleno>,programathor,Remoto,Brazil-based or Remote Brazil,brazil,Pleno,aws; javascript; python; java,,pleno
17,Excelente,100,Pavago,Software Engineer - Go Specialist,<https://himalayas.app/companies/pavago/jobs/software-engineer-go-specialist-4532371793>,himalayas,Remote / Brazil,Brazil-based or Remote Brazil,brazil,Pleno,aws; typescript; postgres; gcp; azure; distributed systems; cloud; platform; backend; api; go; python; java,2026-05-15T05:39:07.000Z,pleno
