rank,fit,score,company,title,url,source,location,fit_reason,job_market,seniority,stack_signals,published_at,report_group
1,Excelente,100,Tractian,Software Engineer - IoT Applications,<https://himalayas.app/companies/tractian/jobs/software-engineer-iot-applications>,himalayas,Remote / Brazil,Brazil-based or Remote Brazil,brazil,Pleno,aws; typescript; postgres; redis; gcp; azure; distributed systems; architecture; cloud; platform; backend; api; go; python,2026-05-22T04:19:13.000Z,pleno
2,Excelente,100,Tractian,Senior Frontend Software Engineer,<https://himalayas.app/companies/tractian/jobs/senior-frontend-software-engineer>,himalayas,Remote / Brazil,Brazil-based or Remote Brazil,brazil,Senior,typescript; reactjs; architecture; platform; backend; frontend; jest,2026-05-21T20:36:19.000Z,senior
3,Excelente,100,Wynd Labs,Full Stack Engineer,<https://himalayas.app/companies/wynd-labs/jobs/full-stack-engineer>,himalayas,Remote,Brazil-friendly remote,brazil_friendly,Pleno,javascript; typescript; reactjs; node; redis; architecture; platform; backend; frontend; go,2026-05-21T20:31:43.000Z,pleno
4,Excelente,100,Creative Chaos,Principal DevOps Engineer (Azure),<https://himalayas.app/companies/creative-chaos/jobs/principal-devops-engineer-azure>,himalayas,Remote / Brazil,Brazil-based or Remote Brazil,brazil,Principal,aws; terraform; typescript; docker; azure; kubernetes; cloud; platform; python,2026-05-21T20:31:31.000Z,devops
5,Excelente,100,NFON AG,Senior Python Engineer - Voice AI Platform (all genders),<https://himalayas.app/companies/nfon-ag/jobs/senior-python-engineer-voice-ai-platform-all-genders>,himalayas,Remote,Brazil-friendly remote,brazil_friendly,Senior,typescript; docker; microservices; scrum; kubernetes; cloud; platform; backend; api; python,2026-05-22T07:42:47.000Z,senior
6,Excelente,100,Sezzle,Senior Software Engineer (Brazil),<https://himalayas.app/companies/sezzle/jobs/senior-software-engineer-brazil>,himalayas,Remote / Brazil,Brazil-based or Remote Brazil,brazil,Senior,aws; typescript; reactjs; react-native; postgres; kubernetes; architecture; cloud; platform; backend; frontend; api; go; python; java,2026-05-22T07:32:45.000Z,senior
7,Excelente,100,Canonical,Software Architect - Containers / Virtualisation,<https://himalayas.app/companies/canonical/jobs/software-architect-containers-virtualisation>,himalayas,"Remote / Afghanistan, Algeria, Angola, Argentina, Australia, Austria, Bangladesh, Belgium, Brazil, Canada, Chile, China, Colombia, Czechia, Denmark, Egypt, Ethiopia, Finland, France, Germany, Ghana, Greece, Hungary, India, Indonesia, Ireland, Israel, Italy, Japan, Kenya, Malaysia, Mexico, Mongolia, Morocco, Nepal, Netherlands, New Zealand, Nigeria, North Korea, Norway, Pakistan, Philippines, Poland, Portugal, Romania, Russian Federation, Saudi Arabia, Singapore, South Africa, South Korea, Spain, Sri Lanka, Sweden, Switzerland, Thailand, Tunisia, Turkey, Ukraine, United Arab Emirates, United Kingdom, United States, Vietnam",Brazil-friendly remote,brazil_friendly,Architect,typescript; docker; distributed systems; architecture; cloud; platform; api; go,2026-05-21T20:33:32.000Z,arq
8,Excelente,100,Bluelight Consulting,Fullstack PHP developer (Magento 2 + WordPress) - Remote. Latin America,<https://himalayas.app/companies/bluelight-consulting/jobs/fullstack-php-developer-magento-2-wordpress-remote-latin-america-6652621989>,himalayas,Remote / Brazil,Brazil-based or Remote Brazil,brazil,Pleno,javascript; typescript; redis; html-css; scrum; graphql; architecture; platform; frontend; api; go; java,2026-05-22T08:55:52.000Z,pleno
9,Excelente,100,RecargaPay,Senior Platform Engineer,<https://himalayas.app/companies/recargapay-com/jobs/senior-platform-engineer>,himalayas,Remote / Brazil,Brazil-based or Remote Brazil,brazil,Senior,aws; terraform; typescript; node; express; microservices; kubernetes; distributed systems; architecture; cloud; platform; api; go; python; java,2026-05-22T11:11:40.000Z,devops
10,Excelente,100,Fusemachines,Senior Software Engineer (Machine Learning ),<https://himalayas.app/companies/fusemachines/jobs/senior-software-engineer-machine-learning-979641740>,himalayas,Remote / Brazil,Brazil-based or Remote Brazil,brazil,Senior,aws; typescript; docker; microservices; architecture; api; go; python; java,2026-05-22T02:58:01.000Z,senior
11,Excelente,100,Campspot,Contract Software Developer - Marketplace,<https://himalayas.app/companies/campspot/jobs/contract-software-developer-marketplace>,himalayas,Remote / Brazil,Brazil-based or Remote Brazil,brazil,Pleno,aws; terraform; javascript; typescript; html-css; scrum; cloud; platform; backend; frontend; api; java; jest,2026-05-21T15:55:12.000Z,pleno
12,Excelente,100,Sporty Group,Backend Software Engineering Team Lead,<https://himalayas.app/companies/sporty-group/jobs/backend-software-engineering-team-lead>,himalayas,Remote,Brazil-friendly remote,brazil_friendly,Lead,aws; javascript; typescript; node; redis; microservices; kubernetes; architecture; cloud; backend; api; go; python; java,2026-05-22T03:21:58.000Z,senior
13,Excelente,99,Med-Metrix,1.050_Dev Program_Senior Software Engineer,<https://himalayas.app/companies/med-metrix/jobs/1-050_dev-program_senior-software-engineer>,himalayas,Remote,Brazil-friendly remote,brazil_friendly,Pleno,aws; terraform; javascript; typescript; postgres; html-css; architecture; cloud; backend; go; python; java,2026-05-21T16:54:02.000Z,pleno
14,Excelente,100,Cocoon,Software Engineer,<https://himalayas.app/companies/cocoon/jobs/software-engineer>,himalayas,Remote,Brazil-friendly remote,brazil_friendly,Pleno,aws; javascript; typescript; reactjs; node; express; postgres; graphql; backend; frontend; api; go,2026-05-21T20:36:51.000Z,pleno
15,Excelente,100,CI&T,"[Job - 29467] Senior Backend Developer, Brazil",<https://himalayas.app/companies/ci-t/jobs/job-29467-senior-backend-developer-brazil>,himalayas,Remote / Brazil,Brazil-based or Remote Brazil,brazil,Senior,typescript; microservices; azure; platform; backend; api; go; java,2026-05-22T06:17:48.000Z,senior
16,Excelente,100,Coderockr,Desenvolvedor Frontend,<https://himalayas.app/companies/coderockr/jobs/desenvolvedor-frontend>,himalayas,Remote / Brazil,Brazil-based or Remote Brazil,brazil,Pleno,javascript; typescript; reactjs; react-native; node; html-css; backend; frontend; api; go; python; java,2026-05-21T20:32:56.000Z,pleno
17,Excelente,100,Sigma Software,Middle/Senior Front-End Developer (React/TypeScript),<https://himalayas.app/companies/sigma-software-e561c036-16e4-4b2c-aa28-a33af9f3750b/jobs/middle-senior-front-end-developer-react-typescript>,himalayas,Remote / Brazil,Brazil-based or Remote Brazil,brazil,Senior,aws; javascript; typescript; reactjs; html-css; graphql; architecture; platform; backend; frontend; api; python; java,2026-05-22T10:23:12.000Z,senior
